Time (min),Blood Glucose (mg/dl),Sensor Glucose Readings(mg/dl)
638,108.4978726268868,111.4841100097475
639,108.3140549184581,111.4945501503752
640,108.1263972234785,111.5047082190992
641,107.9319989192996,111.5128367265514
642,107.7283239842869,111.5171009340889
643,107.513211458335,111.5156201180143
644,107.284870816249,111.5065053495477
645,107.0418655711783,111.4878928943453
646,106.7830886066304,111.457972727209
647,106.5077324425102,111.4150120071581
648,106.2152570915011,111.357373636516
649,105.9053575317706,111.2835302268656
650,105.5779322238293,111.1920739201324
651,105.2330535918369,111.0817225772158
652,104.8709409918791,110.9513228642838
653,104.4919363975466,110.7998507520698
654,104.0964828310929,110.5704018571903
655,103.6851054376246,110.262204261568
656,103.2583950221074,109.8746058856999
657,102.8169938290779,109.4070689472594
658,102.3615833306917,108.8591637322352
659,101.8928737910202,108.2305619105319
660,101.411595386767,107.5210295867092
661,100.9184906822767,106.7304202403732
662,100.4143082768046,105.8586676795503
663,99.89979746255221,104.9057791038336
664,99.3757037517633,103.8718283517639
665,98.84276514954523,102.756949388303
666,98.30170906570793,101.5613300729085
667,97.75324977369937,100.2852062361582
668,97.19808633769146,98.92885608269205
669,96.63690094015054,97.62785900564513
670,96.07035755196134,96.38256251334667
671,95.49910089553156,95.19334171976116
672,94.92375565845303,94.06059509040179
673,94.34492592139324,92.98474051035001
674,93.76319476908543,91.96621166321466
675,93.17912405770429,91.0054547082751
676,92.59325431567365,90.10292524197257
677,92.0061047581529,89.25908552924427
678,91.41817339817294,88.47440198984957
679,90.82993723971738,87.74934292475099
680,90.24185254002965,87.08437646772668
681,89.65435513012548,86.47996874766
682,89.06786078394758,85.93658224733768
683,88.48276562785203,85.45467434506229
684,87.8994465831957,84.95435321491462
685,87.31826183572672,84.43606231709782
686,86.73955132628849,83.90023660036258
687,86.16363725805023,83.34730164916532
688,85.59082461608826,82.77767295381311
689,85.02140169567721,82.19175529346927
690,84.45564063611741,81.58994222249878
691,83.89379795733599,80.97261565122285
692,83.33611509686027,80.34014551272439
693,82.78281894508002,79.69288950789615
694,82.23412237699749,79.03119292145261
695,81.69022477891185,78.35538850213071
696,81.1513125687063,77.66579640078444
697,80.61755970860102,76.96272416053489
698,80.08912820940971,76.24646675356753
699,79.56616862549134,75.54549914668716
700,79.0488205397271,74.86009144257179
701,78.53721303797407,74.19050151513213
702,78.03146517255679,73.53697518661782
703,77.53168641445457,72.89974642998132
704,77.03797709392876,72.27903759319642
705,76.55042882941099,71.67505964250742
706,76.06912494454181,71.08801242184273
707,75.59414087330933,70.51808492586974
708,75.12554455329196,69.96545558439192
709,74.66339680705643,69.43029255599905
710,74.20775171180452,68.91275402907621
711,73.75865695739982,68.41298852845708
712,73.31615419293772,67.93113522617556
713,72.88027936205177,67.46732425492435
714,72.45106302717461,67.04172138393304
715,72.02853068299405,66.65443961231136
716,71.61270305936453,66.30558384462577
717,71.20359641395194,65.99525120399142
718,70.80122281490415,65.72353134286598
719,70.40559041385374,65.49050675086846
720,70.01670370957059,65.29625305903514
721,69.63456380259294,65.1408393400067
722,69.25916864117457,65.02432840371667
723,68.89051325889471,64.94677708821945
724,68.5285900042847,64.90823654536216
725,68.17338876283316,64.9087525210616
726,67.82489717173885,64.94836563000331
727,67.48310082778697,65.02711162462866
728,67.1479834887322,65.14502165832323
729,66.81952726857962,65.2243564694023
730,66.49771282716226,65.26513877932432
731,66.18251955442284,65.26738746501063
732,65.87392574981735,65.23111779877267
733,65.57190879726818,65.15634168258626
734,65.27644533610709,65.04306787684064
735,64.98751142846146,64.8913022237197
736,64.70508272355274,64.70104786539956
737,64.4291346193932,64.4723054572729
738,64.15964242238665,64.2050733764369
739,63.89658150536077,63.89934792570588
740,63.63992746458372,63.55512353343567
741,63.38965627634563,63.1723929494712
742,63.14574445371719,62.75114743755491
743,62.90816920413308,62.29137696455989
744,62.67690858848743,61.89278302236124
745,62.45194168247306,61.55535354107448
746,62.23324874094581,61.27907570664775
747,62.02081136614989,61.06393614159882
748,61.81461268070142,60.90992108483685
749,61.61463750629471,60.81701657112266
750,61.4208725491694,60.78520861076201
751,61.23330659345825,60.81448337017014
752,61.05193070362316,60.90482735399232
753,60.8767384372825,61.05622758951769
754,60.70772606983513,61.26867181417795
755,60.54489283239459,61.54214866698364
756,60.38824116466025,61.87664788481482
757,60.23777698446735,62.27216050455215
758,60.09350997587357,62.72867907210784
759,59.95545389774887,63.10189102189946
760,59.82362691493237,63.39179257835539
761,59.69805195409562,63.59838215518757
762,59.57875708649035,63.72166060417867
763,59.46577593974352,63.76163147733561
764,59.35914814076718,63.71830130391685
765,59.25891979163993,63.59167988388138
766,59.16514397994488,63.3817805993203
767,59.07788132445233,63.08862074539983
768,58.99720055613223,62.71222188224767
769,58.92317913316134,62.25261020902839
770,58.8559038867115,61.70981696113989
771,58.79547169168324,61.08387883097656
772,58.74199015294906,60.37483841198316
773,58.69557829279851,59.58274466468767
774,58.65636721877139,58.86465309083881
775,58.62450074249811,58.22062685532084
